file,prediction,ai_probability,prediction_name,ai_probability_percent
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_049.wav,1,0.9999947547912598,AI,99.99947547912598
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/012 - BEST SORA 2 AI MEMES EPISODE 1_074.wav,1,0.9999947547912598,AI,99.99947547912598
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/021 - Sora 2 Made Famous Characters Run From The Police 🚨😂_060.wav,1,0.9999947547912598,AI,99.99947547912598
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/167 - AI Has LOST ALL CONTROL 💀 (Sora 2 Moments You Won’t Believe)_111.wav,1,0.9999947547912598,AI,99.99947547912598
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/190 - Sora 2 lost episode compilation (FIXED+BONUS VIDEO)_286.wav,1,0.9999946355819702,AI,99.99946355819702
/home/jack/Videos/snip_4sec/garystafford/lv_0004_part_006.flac,1,0.9999946355819702,AI,99.99946355819702
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/237 - 🍦When Animated TV Channels Make Ice Cream📺_019.wav,1,0.9999946355819702,AI,99.99946355819702
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/167 - AI Has LOST ALL CONTROL 💀 (Sora 2 Moments You Won’t Believe)_100.wav,1,0.9999945163726807,AI,99.99945163726807
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/152 - Movie Studio Intros Mix-Up (Behind the Scenes)_028.wav,1,0.9999943971633911,AI,99.99943971633911
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/230 - The Ultimate Spongebob Sora 2 Compilation_193.wav,1,0.9999943971633911,AI,99.99943971633911
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/135 - Unhinged Gumball AI Moments_051.wav,1,0.9999942779541016,AI,99.99942779541016
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/040 - BEST SORA 2 AI MEMES EPISODE 6_093.wav,1,0.999994158744812,AI,99.9994158744812
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/188 - Lost episode by sora 2_020.wav,1,0.999994158744812,AI,99.9994158744812
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/072 - anime girls swooning over spongebob characters compilation 2 (Sora 2 AI)_010.wav,1,0.9999940395355225,AI,99.99940395355225
"/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/174 - Sora 2 - Family Guy, South Park, SpongeBob SquarePants and more! ｜ AI Cartoon Compilation #3_026.wav",1,0.9999939203262329,AI,99.99939203262329
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/025 - He needs someone to save him 😭_060.wav,1,0.9999939203262329,AI,99.99939203262329
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/030 - BEST SORA 2 AI MEMES EPISODE 5_257.wav,1,0.9999939203262329,AI,99.99939203262329
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/132 - All Jeffy Trailers By Sora 2_006.wav,1,0.9999938011169434,AI,99.99938011169434
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/009 - SpongeBob Classic Scene： Everyone Has Ulterior Motives._096.wav,1,0.9999938011169434,AI,99.99938011169434
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/279 - THX vs Animation Studios - The Loudest Crossover Ever!_004.wav,1,0.9999938011169434,AI,99.99938011169434
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/146 - Movie Studio Mascots： Cyberpunk Reality_017.wav,1,0.9999936819076538,AI,99.99936819076538
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/173 - BEST SORA 2 AI MEMES EPISODE 10_040.wav,1,0.9999935626983643,AI,99.99935626983643
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/040 - BEST SORA 2 AI MEMES EPISODE 6_513.wav,1,0.9999935626983643,AI,99.99935626983643
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/173 - BEST SORA 2 AI MEMES EPISODE 10_169.wav,1,0.9999935626983643,AI,99.99935626983643
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/038 - What if Squidward's New Neighbor was Gumball？ A Nightmare Worse Than SpongeBob._121.wav,1,0.9999935626983643,AI,99.99935626983643
